Source	Target	Notes
phongs	to become destitute; destitution ? {T}	
phongs pa chen po	great poverty; great misfortune; very poor	
phongs pa med pa	without loss; without poverty {T}	
phongs par 'gyur pa'i las	an action which will lead to destitution ?? {T}	
phra	subtle; fine; thin	
phra ba	subtle; fine; thin	
phra ba rtog pa'i rnal 'byor	yoga realizing the subtle	
phra ba'i mi rtag pa	subtle impermanence	
phra ba'i shin sbyangs	subtle pliancy	
phra ma	divisive speech	
phra mo	subtle; fine; thin; minute	
phra rab	minute; subtle{N}	
phra rab rdul	particle; subtle particle	
phra rab tsam	merely atoms; only subtle particles {T}	
phrad	particle; to meet with	
phrad pa	meet; come together	
phrad pa'i rgyu	cause of meeting	
phrad par bya ba	meeting	
phrag 'bum	100,000	
phrag brgya	100	
phrag dog	envy | jealousy | jealousy; envy	
phrag dog gi kun sbyor	thorough enwrapment of jealousy	
phrag dog gi kun tu sbyor ba	thorough enwrapment of jealousy	
phrag pa	shoulder	
phrag stong	1000	
phral ma	divisive speech	
phran	small; minute	
phran bu	small; minute	
phran rab	minute	
phran tshegs	minor; lesser	
phreng	garland; rosary; series	
phreng ba	garland; rosary; series	
phrin	message	
phrin las	action; karma	
phrin las 'dra ba nyid	similarity of karma	
phrin las kyi don	object of action; meaning of karma	
phrin las kyi khyad par	different karmas; differences of actions	
phrin las sgrub pa	established karma	
phrin las thun mong ba	concordant karma; {T} common activities	
phrin las zab pa	subtle karma; {T} profound activities	
phrod	meet	
phrogs	to take away; to deprive of | to rob, snatch, grab, attract {T}	
phros	spread; diffuse; scatter	
phru gu	child	
phrug gu	children	
phrul	superficial	
phrul gyi 'khrul rgyu	superficial cause of error/mistake	
phrul ma	divisive speech	
phu	upland, upper part of a valley	
phu bo	elder brother	
phu dung	sleeve	
phu thag chod pa	penetrate; decisive	
phu thag chod pa'i lta	unerring view; view which is decisive	
phud	apex; summit; top	
phug	to bore | deep; inner	
phug gi 'khrul rgyu	deep cause of error/mistake	
phug ron	dove	
phugs	deep; innermost; inner	
phul	verb: offer; present; to give (hon.) noun: offering; present	
phul ba	verb: offer; present; to give (hon.) noun: offering; present	
phul du byung ba	perfect; excellent; marvellous	
phul du byung ba'i dmigs pa	object of observation of perfection	
phul du byung ba'i khyad par	special excellence; particular perfection	
phul gang	a handful	
phul phyin	victorious | full development	
phun	accomplishment; achievement; possession	
phun pa	accomplishment; achievement; possession	
phun sum tshogs	marvels; perfect; complete; marvelous; sublime; perfection; marvel	
phun sum tshogs pa	marvels; wonders; perfect; complete; marvelous; sublime; perfection	
phun sum tshogs pa la nges par 'gyur ba	become definite with respect to completion; become definite with	
phun sum tshogs pa lhag pa	special completion; special marvels	
phun sum tshogs pa thob pa	attain completion; obtain marvels	
phun sum tshogs pa'i bde ba dag la ma chags pa nyid	non-attachment to the marvelous bliss ? {T}	
phun sum tshogs par 'gyur ba	perfect; complete	
phun tshogs	marvels; perfect; complete; marvelous; sublime; perfection; marvel	
phun yon bcas	qualities{BJ 62.6}	
phung	aggregate	
phung gsum	possibility{N}; any other possibility; another category; additional	
phung po	heap | aggregate; mental and physical aggregates	
phung po lhag ma med pa'i mya ngan las 'das pa na yang	nirvāṇa without remainder	
phung po lhag ma med pa'i mya ngan las 'das pa'i dbyings	the sphere of nirvāṇa without remainder	
phung po lnga	five aggregates	
phung po lnga po gang rung la brten nas btags pa'i skyes bu	a being imputed in dependence upon any among the five aggregates	
phung po thams cad nges par 'dor ba dang 'byung bar dang	definitely reject all aggregates and arisings	
phung po yang dag par zad pa	completely extinguish the aggregates	
phung po'i lhag ma ma lus pa'i mya ngan las 'das pa	nirvāṇa without remainder	
phung po'i lhag ma med pa'i mya ngan las 'das pa	nirvāṇa without remainder	
phung po'i lhag ma med par mya ngan las 'da' bar mtha' thug pa	final nirvāṇa without remainder	
phung po'i mtshan nyid	character of the aggregates{N}	
phur bu	thursday	
phur bu lcog byams pa rgya mtsho	Pur-bu-j#ok Jam-b#a-gya-tso [1825-1901]	
phur bu pa	Bārhaspatya; Hedonist {T}	
phur ma	powder	
phus	to blow	
phya le ba	level	
phya le ba ma yin pa	non-level	
phya legs pa	attractive	
phya legs pa ma yin pa	unattractive	
phyag	hand; salutation; reverence; [honorific particle]	
phyag 'tshal	bow down; pay respect to; bowing down; homage; salutation	
phyag 'tshal bar 'gyur ro	bow down; pay respect to; bowing down; homage; salutation	
phyag 'tshal bar byed	bow down; pay respect to; bowing down; homage; salutation	
phyag bdar	sweep; dust	
phyag bgyi 'os	suitable for homage	
phyag bgyi ba'i gnas	source/object for homage	
phyag bris	letter; writing (hon.)	
phyag dang zhabs 'khor lo'i mtshan dang ldan pa	having the sign of a wheel on hands and feet	
phyag dngul	money (hon.)	
phyag las	work (hon.)	
phyag len	practice (hon.)	
phyag mtshan	hand sign; hand symbol	
phyag na rdo rje	Vajrapāṇi	
phyag rgya	seal	
phyag rgya bzhi	four seals{N}	
phyag rgya chen po	Great Seal	
phyag rgya'i lha	seal deity	
phyag rgya'i tshig	seal-word	
phyag tshal	to bow down; pay respect to	
phyag tshod	watch (hon.)	
phyan byas	helped; benefitted	
phye	flour; to divide, to separate; to open | separate; differentiation; differentiate; distinguish	
phye ba	separate; differentiation; differentiate; distinguish	
phye ma	powder; dust	
phye ma'i sman	medicinal powder	
phye ma'i sman sbyar ba	mixing/preparing medicinal powder	
phye nas	having distinguished	
phye shul	opening a passageway or opportunity	
phye tsheg	separating dot [the dot between syllables]	
phyed	to divide, to separate; to open | to be differentiated	
phyed 'og ma	the higher half {T}	
phyed dang gnyis	two and one-half ? {T}	
phyed ka	half	
phyed ma	half	
phyed pa	to be differentiated	
phyi	after | (1) external; outside; outer; generality (2) wipe; wipe away; erase	
phyi bshol	procrastination; put off	
phyi bzhin	after	
phyi bzhin du	closely behind{C}	
phyi dang bye brag	generality and particular	
phyi dang nang gi dngos po	external and internal thing	
phyi dar	later dissemination{N}	
phyi dar gyi mkhas pa	scholars of the later dissemination	
phyi dbyangs; phyi dbyangs dbyings	external expanse of the sky	
phyi don	external object{N}	
phyi don du med	do not exist as external objects{BJ 21.1}	
phyi logs	subsequent	
phyi logs su byung ba	subsequent arising	
phyi ma	later; next | later; subsequent; latter; the latter{D2}	
phyi ma la	in the future; there	
phyi ma phyi ma	most superior; each following one	
phyi ma phyi ma 'bras bu	highest fruit	
phyi ma phyi ma dag	most superior; each following one	
phyi ma phyi ma'i 'bras bu	highest fruit	
phyi ma rjes mthun bzhi	latter four similitudes	
phyi ma'i rgyud	Last Tantra [the fourth of the Four (Medical) Tantras]	
phyi mo	model	
phyi mo ba'i dbu ma pa	model Mādhyamika	
phyi nang	external and internal	
phyi nang gi chos	external and internal phenomena	
phyi nang stong pa nyid	external and internal emptiness	
phyi rabs kyi skyo bo'i don du	later generation; subsequent generation	
phyi rgol	second party; previous thesis [which is being refuted]; opponent	
phyi rgol ba	second party; previous thesis [which is being refuted]; opponent	
phyi rgol yang dag	correct second party; full-fledged second party	
phyi rol	outside | outside; external	
phyi rol don du grub pas stong ba	empty of being established as an external object	
phyi rol don gyis stong pa	emptiness of external objects	
phyi rol don snang gi blo	awareness to which external objects appear	
phyi rol don stong	emptiness of external phenomena	
phyi rol gyi don	external objects	
phyi rol pa	Forder [literally: outsider; heretic]; Non-Buddhist	
phyi rol pa'i yongs su smin pa	external ripening; external maturation {T}	
phyi rol tu	externally; outside	
phyi rol tu 'gyur te	go outside; external	
phyi rol tu rnam par g.yeng ba	external distraction {T}	
phyi shol	procrastination; put off	
phyi stong pa nyid	external emptiness; {T} emptiness of external [objects]	
phyi'i 'byor ba lnga	five outer fortunes	
phyi'i bem po	external matter	
phyi'i dngos po rnams	external things	
phyi'i don	external object	
phyi'i gzugs	external form	
phyi'i phyag rgya	external seal	
phyi'i phyag rgya dang sbyor ba	joining/union with an external seal/consort	
phyi'i rkyen yongs su grub pa	establish the general conditions; {T} achieve the external conditions	
phyi'i skad cig ma nyid	momentariness of the external [world] {T}	
phyi'i skye mched drug	the six external sources	
phyin	to arrive | went [past of 'gro, 'to go']	
phyin chad	after | henceforth; since that time; ever since	
phyin ci log	mistaken; error; erroneous; wrong; inverted; incorrect	
phyin ci log bzhi dang ldan pa	possessing the four errors {T}	
phyin ci log gi blo can	having a mistaken awareness	
phyin ci log gi gnas ngan len	assumptions of bad erroneous states	
phyin ci log gi gnyen po'i snang ba'i de kho na	reality which is the appearance of the antidote to error {T}	
phyin ci log gi gzhi	basis of error; erroneous basis	
phyin ci log gi mtshan ma	mistaken sign; sign of error	
phyin ci log gi yid la byed pa	mistaken mental contemplation	
phyin ci log las byung ba	arisen from error	
phyin ci log ma yin	non-mistaken; non-erroneous	
phyin ci log med	non-mistaken; non-erroneous	
phyin ci log med pa	non-mistaken; non-erroneous	
phyin ci log pa	mistaken; wrong; inverted; incorrect; erroneous	
phyin ci log rjes su 'brel pa	bonds of error	
phyin ci log tu	mistakenly; erroneously	
phyin ci ma log	non-mistaken; non-inverted; non-erroneous; right; correct	
phyin ci ma log 'chad	non-mistaken explanation	
phyin ci ma log mtshan nyid	non-mistaken characteristic	
phyin ci ma log pa	unmistaken; non-inverted; non-erroneous; right; correct	
phyin ci ma log pa de bzhin nyid	non-mistaken suchness	
phyin ci ma log pa'i de kho na	non-mistaken reality	
phyin ci ma log pa'i don	non-mistaken meaning; non-mistaken object	
phyin ci ma log par	non-erroneously{N}	
phyin ci ma log par gyur pa	be non-mistaken; which is non-mistaken	
phyin ci ma log par sgrub pa	non-mistaken establishment; establish non-erroneously	
phyin ci ma log pas yongs su grub pa	thoroughly establish non-mistakenly	
phyin ma thag tu	as soon as reaching; immediately/right/just after arriving	
phyin nas	having gone; having obtained	
phyin pa	"went [past of 'gro, """"to go""""]; reached"	
phyin pa pa	goer	
phyin pa'i gnas	level reached {T}	
phyin par 'gyur	reached; went	
phyin par byed pa	reached; attained	
phyin par mi nus	could not traverse	
phyin te lo shu sha	Phyin-te-lo-shu-sha, a Tibetan transcription of the Chinese name 賓頭盧埵闍 Bin-tou-lu-duo-she, itself a transcription of Sanskrit Pindoladhvaja (?; Hahn 1996: 318)	
phyir	back; again; out, outside; on account of, due to, because of; for the sake of; in order to; behind | because; again; back; outside; because of; on account of; in order	 [Bialek]: again; out, outside; on account of, due to, because of; for the sake of; in order to; behind
phyir 'ong	Once Returner	
phyir 'ong 'bras gnas pa	Abider in the Fruit of Once-Returner	
phyir 'ong ba	Once Returner	
phyir 'ong zhugs pa	Approacher to Once-Returner	
phyir bcos	fix up; repair	
phyir du	in order to; for the sake of	
phyir logs su	after	
phyir mi 'ong	Never Returner; Non-Returner	
phyir mi 'ong 'bras gnas pa	Abider in the Fruit of a Never-Returner	
phyir mi 'ong ba	never returner	
phyir mi 'ong zhugs pa	Approacher to Never-Returner	
phyir mi ldog pa	Non-Returner | return; reverse	
phyir mi ldog pa nyid du	irreversibility	
phyir mi ldog pa sa yi chos	phenomena/doctrines of the irreversible grounds	
phyir mi ldog pa'i 'khor lo'i mdo	Irreversible Wheel Sūtra (P906, vol. 36)	
phyir mi ldog pa'i sa	irreversible ground(s)	
phyir mi ldog pa'i sa la gnas pa	abiding in the irreversible grounds	
phyir mi ldog pa'i sa la lung bstan pa 'thob pa yang dag par 'grub pa	correctly achieving the attainment indicated in the scripture on the	
phyir mi ldogs pa'i sa	irreversible ground(s)	
phyir phyogs	turn away from; turn one's back on	
phyir phyogs par 'gyur	turn(ed) away from; turn one's back on{S 55.3}	
phyir phyogs par byed	turn away from; turn one's back on	
phyir rgol pa	opponent	
phyir zhing	further	
phyir zhing 'byung ba	further arising{S 29}	
phyis	later | (1) after (2) wipe; wipe away; erase	
phyogs	direction; side | position; direction; portion; class; bias; quarter; side; faction {BJ 11.3}	
phyogs 'dzin pa'i dbu ma pa	partisan Mādhyamikas	
phyogs bcu pa'i sangs rgyas rnams	the Buddhas of the ten directions	
phyogs bcu'i	of the ten directions	
phyogs bcur	in the ten directions; the ten directions; all directions	
phyogs cha	directional parts	
phyogs chos	property of the subject; subject-quality; presence of the sign in the	
phyogs chos kyi ltos gzhi	the basis of relation of the property of the subject{LSR 2b}	
phyogs de song	gone in that direction {T}	
phyogs gcig	one portion	
phyogs gcig rnams	some (types){BR}	
phyogs glang	Dignāga	
phyogs gnas	abiding in a position	
phyogs gsum pa med pa	a third position does not exist {T}	
phyogs kyi glang po	Dignāga	
phyogs kyi gos can	"Digambara{N} (lit.: """"sky-clad"""")"	
phyogs la	towards	
phyogs med	[bias-not-exist]; directionless; without bias; without partisanship	
phyogs med pa	[bias-not-exist]; directionless; without bias; without partisanship	
phyogs mtshams	intermediate direction; directions and intermediate directions	
phyogs na gnas pa	abiding in a position	
phyogs re'i gnyen po	partial antidote	
phyogs snga ma	opponent{BJ 11.1}	
phyogs snga'i skabs su	on the occasion of [setting forth the position of] the opponent{BJ 44.5}	
phyogs su	towards	
phyogs tsam	mere direction; mere position; mere portion	
phyu pa	robe	
phyug	to be rich	
phyug pa	opulent, wealthy, rich {T}	
phyug po dang bdag po	lord and owner {T}	
phyugs	cattle | cow	
phyugs gshod	killing cows	
phyung	to cause to come forth/out; to gouge out, to take out | cast out; throw away; banish; root out; disbelieve{BJ 9.1}	
phyung ba	cast out; throw away; banish; root out; disbelieve	
phyung gyur	cast out; throw away; banish; root out; disbelieve	
phyungs	cast out; throw away; banish; root out; disbelieve	
pi bang	an Indian lute with seven strings	
pi wang	an Indian lute with seven strings	
po li	ball	
po ta la	Po-ta-la, name of a mountain	
po ti	volume; book	
po'i bar dgu	the nine ranging from the small of the small up to the great of the great	
pod	volume; book	
pre pe stan chung	Pre-pe-stan-chung	
prāpuṇetum = prāpuṇitva)	attain; obtain	
pu gu	child; children	
